2013-11-24	2.1085		3.8400		
2013-11-22	1.0787		3.7720		
2013-11-21	1.0247		3.7250		
2013-11-20	1.0128		3.7030		
2013-11-19	0.9904		3.6420		
2013-11-18	1.0126		3.5980		
2013-11-17	1.9829		3.5500		
2013-11-15	0.9912		3.4760		
2013-11-14	0.9838		3.4580		
2013-11-13	0.8993		3.4310		
2013-11-12	0.9101		3.4580		
2013-11-11	0.9228		3.4930		
2013-11-10	1.8469		3.5110		
2013-11-08	0.9578		3.5490		
2013-11-07	0.9332		3.5900		
2013-11-06	0.9487		3.6380		
2013-11-05	0.9757		3.6810		
2013-11-04	0.9567		3.6870		
2013-11-03	1.9161		3.6920		
2013-11-01	1.0350		3.6920		
2013-10-31	1.0213		3.6540		
2013-10-30	1.0290		3.6180		
2013-10-29	0.9864		3.5570		
2013-10-28	0.9651		3.5190		
2013-10-27	1.9166		3.4850		
2013-10-25	0.9656		3.4270		
2013-10-24	0.9529		3.3990		
2013-10-23	0.9166		3.3780		
2013-10-22	0.9160		3.3760		
2013-10-21	0.9023		3.3810		
2013-10-20	1.8084		3.3660		
2013-10-18	0.9140		3.4260		
2013-10-17	0.9148		3.4900		
2013-10-16	0.9129		3.5270		
2013-10-15	0.9242		3.5460		
2013-10-14	0.8747		3.5460		
2013-10-13	1.9194		3.6000		
2013-10-11	1.0335		3.6170		
2013-10-10	0.9825		3.5850		
2013-10-09	0.9487		3.5810		
2013-10-08	0.9249		3.5950		
2013-10-07	6.8245		3.6220		
2013-09-30	1.0590		3.9600		
2013-09-29	2.0689		3.8640		
2013-09-27	1.1792		3.6860		
2013-09-26	0.8996		3.5200		
2013-09-25	1.1288		3.5040		
2013-09-24	1.1138		3.4900		
2013-09-23	0.8804		3.3560		
2013-09-22	3.4828		3.3540		
2013-09-18	1.1033		3.3800		
2013-09-17	0.8646		3.2400		
2013-09-16	0.8771		3.2180		
2013-09-15	1.7539		3.1750		
2013-09-13	0.8885		3.1100		
2013-09-12	0.8886		3.0730		
2013-09-11	0.8424		3.0590		
2013-09-10	0.8236		3.0660		
2013-09-09	0.7968		3.0740		
2013-09-08	1.6333		3.1020		
2013-09-06	0.8205		3.1290		
2013-09-05	0.8620		3.1650		
2013-09-04	0.8560		3.1680		
2013-09-03	0.8381		3.1800		
2013-09-02	0.8487		3.1920		
2013-09-01	1.6843		3.1520		
2013-08-30	0.8876		3.0960		
2013-08-29	0.8660		3.0800		
2013-08-28	0.8786		3.0690		
2013-08-27	0.8616		3.0570		
2013-08-26	0.7743		3.0550		
2013-08-25	1.5804		3.0910		
2013-08-23	0.8561		3.1320		
2013-08-22	0.8463		3.1220		
2013-08-21	0.8564		3.1320		
2013-08-20	0.8587		3.1090		
2013-08-19	0.8401		3.0740		
2013-08-18	1.6563		3.0430		
2013-08-16	0.8391		3.0190		
2013-08-15	0.8649		2.9750		
2013-08-14	0.8122		2.9740		
2013-08-13	0.7937		2.9700		
2013-08-12	0.7838		2.9770		
2013-08-11	1.6103		2.9760		
2013-08-09	0.7573		2.9860		
2013-08-08	0.8639		3.8370		
2013-08-07	0.8034		3.8470		
2013-08-06	0.8072		3.8860		
2013-08-05	0.7814		3.9130		
2013-08-04	1.6301		3.9600		
2013-08-02	2.3359		4.0310		
2013-08-01	0.8825		3.2150		
2013-07-31	0.8757		3.1930		
2013-07-30	0.8559		3.1580		
2013-07-29	0.8685		3.1440		
2013-07-28	1.7614		3.1330		
2013-07-26	0.8246		3.0880		
2013-07-25	0.8415		3.0950		
2013-07-24	0.8119		3.0900		
2013-07-23	0.8296		3.1050		
2013-07-22	0.8473		3.1090		
2013-07-21	1.6782		3.1210		
2013-07-19	0.8367		3.1550		
2013-07-18	0.8325		3.1840		
2013-07-17	0.8394		3.2180		
2013-07-16	0.8371		3.2490		
2013-07-15	0.8694		3.2780		
2013-07-14	1.7419		3.2920		
2013-07-12	0.8904		3.3090		
2013-07-11	0.8966		3.3220		
2013-07-10	0.8972		3.3780		
2013-07-09	0.8900		3.3780		
2013-07-08	0.8957		3.4280		
2013-07-07	1.7732		3.5020		
2013-07-05	0.9141		3.7030		
2013-07-04	1.0006		3.7480		
2013-07-03	0.8988		3.7300		
2013-07-02	0.9824		3.8600		
2013-07-01	1.0321		4.4760		
2013-06-30	2.1453		4.5450		
